"question_number","section","clause_reference","question_text"
168,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.5.80","Records for returned dietary supplements shall be maintained. Records shall be maintained for at least one year after the shelf life date, if shelf life dating is being used, or at least two years beyond the date of distribution of the last batch associated with those records. [21CFR111.535]"
169,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.5.57","Records shall be maintained to allow a complete history and control of the packaged and labeled dietary supplement through distribution. [21CFR111.410(d)]"
170,"Laboratory Controls (Section H)","4.6.14","QC laboratory operations and procedures shall be established. [21CFR111.110 & 21CFR111.303]"
171,"Laboratory Controls (Section H)","4.6.17","Laboratory controls shall be established and have been approved by QC, including criteria for establishing specifications. [21CFR111.315(a)]"
172,"Laboratory Controls (Section H)","4.6.18","Parameters shall be set for laboratory controls for sampling plans, criteria for examination and testing methods, and standard reference materials. [21CFR111.315(b), (c), (d), (e)]"
173,"Laboratory Controls (Section H)","4.2.3","QC responsibilities for laboratory test methods and examinations used to test each specification requirement shall be defined, shall be appropriate for their intended use and shall be followed. Test methods and examinations shall be used according to established criteria. [21CFR111.320]"
174,"Laboratory Controls (Section H)","4.6.16","Laboratory facilities used shall be adequate for testing of components, in-process materials, and dietary supplements. [21CFR111.310]"
175,"Laboratory Controls (Section H)","4.6.15","Scientifically valid methods shall be used and include at least one of the following: [21CFR111.75(h)]"
176,"Laboratory Controls (Section H)","4.6.27","For all products that bear expiration date or a statement of product shelf life, the shelf life shall be supported. [Preamble to 21CFR111 final rule]"
177,"Laboratory Controls (Section H)","4.5.37","Written procedures shall be in place for retesting materials to extend shelf life."
178,"Warehouse and Distribution (Section I)","4.5.70","Procedures shall be established for the holding and distribution operations. [21CFR111.475(b1)]"
179,"Warehouse and Distribution (Section I)","4.5.68","Dietary supplements, components, in-process materials, labeling, and packaging shall be held under the appropriate conditions of temperature, humidity, and light. Storage conditions shall not lead to a mix-up, contamination, or deterioration. [21 CFR § 111.455 & 21 CFR § 111.460]"
180,"Warehouse and Distribution (Section I)","4.5.11","Equipment such as freezers, refrigerators, etc., that are used to hold components or dietary supplements shall be adequately designed and functioning properly. [21CFR111.27(a5)]"
181,"Warehouse and Distribution (Section I)","4.5.69","Distribution of product shall occur under conditions that will protect against contamination and deterioration. [21CFR111.470]"
182,"Warehouse and Distribution (Section I)","4.5.72","Written procedures shall be in place for transportation operations and shall be conducted to prevent dietary supplements from becoming unsafe during transportation operations. [21CFR1.908]"
183,"Warehouse and Distribution (Section I)","4.5.71","Vehicles and transportation equipment shall be designed and constructed of such material and workmanship to prevent dietary supplements transported therein from becoming unsafe, e.g., adulterated during transportation operations. [21CFR1.906]"
184,"Warehouse and Distribution (Section I)","4.5.73","Product distribution records shall be retained. Records shall be maintained for at least one year after the shelf life date, if shelf life dating is being used, or at least two years beyond the date of distribution of the last batch associated with those records. [21CFR111.475(b2)]"
185,"Warehouse and Distribution (Section I)","4.5.74","An appropriate quarantine system shall be established and shall be demonstrated to meet the necessary requirements per procedures. Rejected dietary supplements, components, packaging, labeling, and products shall be removed from manufacturing operations and placed in quarantine until disposition is determined. Records shall be kept for the quarantine system. [21CFR111.170, 21CFR111.370, & 21CFR111.425]"
186,"GMP Certification Policies (Section J)","GP-15","Prompt and thorough access shall be granted to the auditor during the NSF audit."
187,"GMP Certification Policies (Section J)","GP-27","Documents requested during the NSF audit shall be provided in a timely manner."
188,"GMP Certification Policies (Section J)","PP-34","The NSF 455 Certification Mark shall not be used on materials, ingredients, components, or finished products"
189,"GMP Certification Policies (Section J)","PP-10","Products observed being manufactured at the site at the time of the audit."
